Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,153,12,"M:System.Drawing.Graphics.FillRectangle(System.Drawing.Brush,System.Single,System.Single,System.Single,System.Single)",,,,,"_g.FillRectangle(Brushes.Black, 35, 5, boxWidth, boxHeight);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,148,12,T:System.Drawing.Font,,,,,"SizeF titleSize = _g.MeasureString(title, _titleFont);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,148,12,T:System.Drawing.Graphics,,,,,"SizeF titleSize = _g.MeasureString(title, _titleFont);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,148,12,"M:System.Drawing.Graphics.MeasureString(System.String,System.Drawing.Font)",,,,,"SizeF titleSize = _g.MeasureString(title, _titleFont);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,139,16,T:System.Drawing.Pen,,,,,"_g.DrawEllipse(_pointPen, x - 4, y - 4, 8, 8);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,139,16,T:System.Drawing.Graphics,,,,,"_g.DrawEllipse(_pointPen, x - 4, y - 4, 8, 8);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,139,16,"M:System.Drawing.Graphics.DrawEllipse(System.Drawing.Pen,System.Single,System.Single,System.Single,System.Single)",,,,,"_g.DrawEllipse(_pointPen, x - 4, y - 4, 8, 8);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,138,16,T:System.Drawing.Brush,,,,,"_g.FillEllipse(_pointBrush, x - 4, y - 4, 8, 8);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,138,16,T:System.Drawing.Graphics,,,,,"_g.FillEllipse(_pointBrush, x - 4, y - 4, 8, 8);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,138,16,"M:System.Drawing.Graphics.FillEllipse(System.Drawing.Brush,System.Single,System.Single,System.Single,System.Single)",,,,,"_g.FillEllipse(_pointBrush, x - 4, y - 4, 8, 8);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,127,16,T:System.Drawing.Pen,,,,,"_g.DrawCurve(_curvePen, curvePoints.ToArray());"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,127,16,T:System.Drawing.Graphics,,,,,"_g.DrawCurve(_curvePen, curvePoints.ToArray());"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,127,16,"M:System.Drawing.Graphics.DrawCurve(System.Drawing.Pen,System.Drawing.PointF[])",,,,,"_g.DrawCurve(_curvePen, curvePoints.ToArray());"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,102,20,T:System.Drawing.Brushes,,,,,"_g.DrawString(value.ToString(""F2"", CultureInfo.InvariantCulture), _gridFont, Brushes.Gray, 5, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,102,20,T:System.Drawing.Brush,,,,,"_g.DrawString(value.ToString(""F2"", CultureInfo.InvariantCulture), _gridFont, Brushes.Gray, 5, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,102,20,P:System.Drawing.Brushes.Gray,,,,,"_g.DrawString(value.ToString(""F2"", CultureInfo.InvariantCulture), _gridFont, Brushes.Gray, 5, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,102,20,T:System.Drawing.Font,,,,,"_g.DrawString(value.ToString(""F2"", CultureInfo.InvariantCulture), _gridFont, Brushes.Gray, 5, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,102,20,T:System.Drawing.Graphics,,,,,"_g.DrawString(value.ToString(""F2"", CultureInfo.InvariantCulture), _gridFont, Brushes.Gray, 5, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,102,20,"M:System.Drawing.Graphics.DrawString(System.String,System.Drawing.Font,System.Drawing.Brush,System.Single,System.Single)",,,,,"_g.DrawString(value.ToString(""F2"", CultureInfo.InvariantCulture), _gridFont, Brushes.Gray, 5, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,101,20,T:System.Drawing.Pen,,,,,"_g.DrawLine(_gridPen, 0, y, _width, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,101,20,T:System.Drawing.Graphics,,,,,"_g.DrawLine(_gridPen, 0, y, _width, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,101,20,"M:System.Drawing.Graphics.DrawLine(System.Drawing.Pen,System.Single,System.Single,System.Single,System.Single)",,,,,"_g.DrawLine(_gridPen, 0, y, _width, y);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,92,20,T:System.Drawing.Brushes,,,,,"_g.DrawString(time.ToString(""F1"", CultureInfo.InvariantCulture), _gridFont, Brushes.Gray, x, _height - 15);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,92,20,T:System.Drawing.Brush,,,,,"_g.DrawString(time.ToString(""F1"", CultureInfo.InvariantCulture), _gridFont, Brushes.Gray, x, _height - 15);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,KSPCurveBuilder.csproj,File,SOURCE\CurveRenderer.cs,92,20,P:System.Drawing.Brushes.Gray,,,,,"_g.DrawString(time.ToString(""F1"", CultureInfo.InvariantCulture), _gridFont, Brushes.Gray, x, _height - 15);"
